7 2 230
   0.4348683610500939E+01   0.2953088138695055E+00
   0.2465038854019734E-04   0.2124363143897707E+01   0.1148188615170074E-01
   0.2383157781622512E-04   0.3206858913559061E+00   0.1671346196601068E-02
  -0.2358765186013457E-04   0.5336386476987345E+01   0.8984035242693857E-01
  -0.2308684467527070E-04   0.5933180141227998E+01   0.2851449251039256E-01
   0.2173788459895790E-04   0.4888883374022804E+01   0.3034874722020547E-01
   0.1642710507186450E-04   0.2847974019746996E+01   0.7976285245286770E-02
   0.1553609418389716E-04   0.4577005991650739E+01   0.7819555776202598E-01
  -0.1337650472587841E-04   0.3532709224445545E+01   0.8002981247183889E-01
  -0.1132855895484880E-04   0.6385757282977473E+00   0.1084128336043461E-01
   0.1088679752730659E-04   0.1924482009580659E+01   0.1061405125957763E-01
  -0.1000802392783223E-04   0.5068732563979834E+00   0.1281653848924308E+00
   0.8798422861268053E-05   0.4475031029645411E+00   0.5949160520673310E-01
   0.8204317973862647E-05   0.4845921110819746E+01   0.8163830125216846E-02
   0.7724851326708509E-05   0.1682872495502942E+01   0.9007028650621710E-02
  -0.7215481275780168E-05   0.2968778776785854E+01   0.8779796549764733E-02
  -0.6984482201975051E-05   0.3289464668141760E+01   0.1045114274636580E-01
  -0.6882066002549454E-05   0.5044618701443436E+01   0.1145724978498250E-01
   0.6650438793970224E-05   0.4464232927433166E+01   0.1192719722922376E+00
  -0.6296309881986443E-05   0.5508529694638360E+01   0.1174377175824247E+00
   0.6110229923833445E-05   0.1901175189554760E+01   0.9781663767222532E-01
   0.6015743140846809E-05   0.1485787415599959E+01   0.6406027912661278E-03
   0.5443666713560605E-05   0.2245167900936563E+01   0.1228539745617870E-01
  -0.5558326355997969E-05   0.3240941448901636E+01   0.1646709829882825E-02
  -0.3958927857591537E-05   0.2643715473086239E+01   0.1806334976402677E-01
   0.3941866401660965E-05   0.3558831285843477E+01   0.1081664699371637E-01
  -0.3779778844595939E-05   0.5287411759214510E+01   0.1063868762629588E-01
  -0.3613554557427136E-05   0.2183026940518178E+00   0.8880960902160362E-01
   0.3510914428131760E-05   0.5215581719948487E+01   0.8903684112246060E-01
   0.2958781539525876E-05   0.2539750917852507E+01   0.1086579210326600E+00
  -0.2877066321058344E-05   0.3825657199135419E+01   0.1084306889318030E+00
  -0.2684534114394913E-05   0.4603128053048671E+01   0.8982392283903467E-02
   0.2527885180883367E-05   0.4852321924012415E-01   0.8804432916482976E-02
  -0.2228949169524294E-05   0.4768078616983946E+01   0.2954523591572750E-01
   0.2203418048212828E-05   0.6053984898266856E+01   0.2931800381487053E-01
   0.2084495541017897E-05   0.2735200955529421E+01   0.4905269977549836E-01
  -0.2078328653497296E-05   0.2773328739108939E+01   0.6838501780692632E-01
   0.2053262782839373E-05   0.4414906483947636E+00   0.2474857501079031E-02
   0.1926895597615764E-05   0.1729031971903744E+01   0.7021927251673923E-01
   0.1866581488955838E-05   0.4651651272288795E+01   0.1778682520038644E-01
   0.1793161742446505E-05   0.4894895828592580E+01   0.8736549492585954E-01
   0.1728658611291661E-05   0.2310550508939783E+01   0.1379759248475305E+00
   0.1676857763913550E-05   0.4570993537080962E+01   0.2117881005637192E-01
   0.1535772080970505E-05   0.2125944501827351E+01   0.8025577708070115E-02
  -0.1522980567370601E-05   0.4697810748689598E+01   0.7899906906650395E-01
  -0.1495199523539624E-05   0.5960918057894030E+01   0.1784962247029556E-02
  -0.1524956909904084E-05   0.4644458618573054E+01   0.1075230367672436E-01
   0.1476058477371991E-05   0.3411904467406686E+01   0.7922630116736093E-01
   0.1450002439077977E-05   0.2646511527500304E+01   0.1056475879679429E-01
   0.1487447331838316E-05   0.4201784426484933E+01   0.1070303094328788E-01
  -0.1242111402697583E-05   0.1481410003256251E+01   0.1159550220212923E-01
  -0.1224261037265257E-05   0.2372321017340067E+00   0.1256192201981903E-01
   0.1240886283959093E-05   0.3581232443685669E+01   0.8883424538832187E-01
  -0.1221915897644608E-05   0.1852651970314636E+01   0.8901220475574236E-01
  -0.1186953182299199E-05   0.2563057737878406E+01   0.2145533462001224E-01
  -0.1201215374450881E-05   0.4146343090491325E+01   0.1101020351284040E+00
  -0.1129771140532139E-05   0.6196463206155567E+00   0.8708897036221921E-01
  -0.1097793441792323E-05   0.1602214760295107E+01   0.1239901350660719E-01
   0.1028753109593422E-05   0.5688755385778249E+01   0.8918048966911464E-02
  -0.1020891709037016E-05   0.5460006475398236E+01   0.1086332846659417E+00
  -0.1012670463985482E-05   0.5246081193690127E+01   0.8868776233474979E-02
   0.1000328987513614E-05   0.9054016415896892E+00   0.1084553252985212E+00
  -0.1056701003062998E-05   0.4927011157602322E+01   0.4968106525163343E-01
   0.9414415383367402E-06   0.3286668613727695E+01   0.1794973371359828E-01
  -0.9256226899654040E-06   0.4366734990420207E+01   0.3126587457511192E-01
  -0.8873327693660700E-06   0.9696514865671384E+00   0.5857447785182665E-01
  -0.8578646315557892E-06   0.4447392725628039E+01   0.2787388971912643E-01
   0.8458120789255400E-06   0.2964401364442145E+01   0.1973469596062783E-01
  -0.8599515368071076E-06   0.5488874251461201E+01   0.8050214074788358E-02
  -0.8217941676205146E-06   0.5389885854077239E+00   0.9048095521820468E-01
   0.7998618448176001E-06   0.3178898369418413E+00   0.9169937163833544E-02
  -0.7833211544506204E-06   0.1029021640000580E+01   0.1272482575375243E+00
   0.7924651953382082E-06   0.6208540026541524E+01   0.6040873256163955E-01
   0.7948809078699551E-06   0.9148548244318278E-01   0.3098935001147160E-01
   0.7622712310485859E-06   0.2138407291288768E+01   0.1103785596920444E+00
   0.7575143203880983E-06   0.2219065026496601E+01   0.1069865748360589E+00
   0.7730107483777507E-06   0.1405148867350095E+01   0.2952059954900926E-01
  -0.7622738839419112E-06   0.3133729340721127E+01   0.2934264018158877E-01
  -0.7315354488166669E-06   0.4250307645725057E+01   0.1950746385977086E-01
   0.7005448425844999E-06   0.8428342749585034E+00   0.7542188416946162E-03
  -0.6870417571431780E-06   0.4343428170394308E+01   0.1184684609877596E+00
   0.2477704948047725E-02   0.2758053611904325E+01   0.1974675300542636E+00
   0.1177430869304958E-02   0.4137080417856488E+01   0.2962012950813954E+00
   0.7097516189849207E-03   0.5516107223808650E+01   0.3949350601085272E+00
   0.4276809299095375E-03   0.6119487225812321E+00   0.4936688251356589E+00
   0.2883086646474427E-03   0.1990975528533395E+01   0.5924025901627907E+00
   0.2445211406069563E-03   0.9543763593625246E+00   0.1876569900991639E+00
   0.2079619720142985E-03   0.2333403165314687E+01   0.2863907551262957E+00
   0.1997665368454137E-03   0.3370002334485558E+01   0.6911363551899224E+00
   0.1532039999508838E-03   0.3712429971266850E+01   0.3851245201534275E+00
   0.1391797303858132E-03   0.4749029140437719E+01   0.7898701202170543E+00
  -0.1347079373955693E-03   0.5940757670398288E+01   0.3060118350364951E+00
  -0.1168617638452060E-03   0.4561730864446125E+01   0.2072780700093633E+00
   0.1158407408725238E-03   0.5091456777219012E+01   0.4838582851805592E+00
  -0.1110204610592649E-03   0.1036599169170870E+01   0.4047456000636268E+00
   0.9876297087120832E-04   0.6128055946389881E+01   0.8886038852441861E+00
   0.9360835142429720E-04   0.1872982759915942E+00   0.5825920502076911E+00
  -0.8787340150688395E-04   0.2415625975123033E+01   0.5034793650907585E+00
   0.7626783708559587E-04   0.1566325081943758E+01   0.6813258152348228E+00
  -0.7423412446912493E-04   0.3794652781075196E+01   0.6022131301178903E+00
   0.7068861066099871E-04   0.1223897445162464E+01   0.9873376502713178E+00
  -0.6947176438271949E-04   0.3280201995506922E+01   0.1965504026993571E+00
  -0.6514978275214879E-04   0.5433884414000304E+01   0.1778464501440642E+00
  -0.6245521353308536E-04   0.5173679587027357E+01   0.7009468951450221E+00
   0.6236351497568400E-04   0.2945351887895920E+01   0.7800595802619547E+00
  -0.5211914123734037E-04   0.2695210857999389E+00   0.7996806601721539E+00
   0.5087526477014214E-04   0.2602924251114628E+01   0.1086071415298450E+01
   0.5058590687048317E-04   0.4324378693848082E+01   0.8787933452890865E+00
  -0.4813389965573155E-04   0.8222280980834551E-01   0.2170886099644629E+00
  -0.4301007833478336E-04   0.1648547891752100E+01   0.8984144251992857E+00
   0.4104292740965665E-04   0.5703405499800243E+01   0.9775271103162182E+00
   0.3665390355309391E-04   0.3981951057066789E+01   0.1184805180325582E+01
  -0.3538628961664771E-04   0.3027574697704266E+01   0.9971481902264174E+00
   0.3326628366799721E-04   0.7992469985728281E+00   0.1076260875343350E+01
  -0.2902403206479552E-04   0.4406601503656427E+01   0.1095881955253549E+01
   0.2693554901487583E-04   0.2178273804524990E+01   0.1174994640370482E+01
   0.2669007886238697E-04   0.6038255607411246E+01   0.3940179327536207E+00
   0.2640617243698899E-04   0.5360977863018951E+01   0.1283538945352713E+01
  -0.2373722745643357E-04   0.5785628309608589E+01   0.1194615720280681E+01
   0.2176062809432465E-04   0.3557300610477151E+01   0.1273728405397614E+01
  -0.1934646504415605E-04   0.8814698083811701E+00   0.1293349485307813E+01
   0.1897373895483440E-04   0.4568193617915357E+00   0.1382272710379845E+01
   0.1754329413716687E-04   0.4936327416429316E+01   0.1372462170424745E+01
   0.1572430747504168E-04   0.2235905228301728E+01   0.1983846574091700E+00
  -0.1571827863857085E-04   0.2260496614333335E+01   0.1392083250334945E+01
  -0.1539945531353985E-04   0.1461249615760508E+01   0.3158223749915947E+00
   0.1410585893877412E-04   0.3216891520189780E-01   0.1471195935451877E+01
   0.1357189445488529E-04   0.1835846167743697E+01   0.1481006475406977E+01
  -0.1273330553828309E-04   0.3639523420285497E+01   0.1490817015362076E+01
   0.1163556995976533E-04   0.6045833136581537E+01   0.6715152752797231E+00
   0.1139577901854967E-04   0.4666806330629374E+01   0.5727815102525914E+00
   0.1139366110710306E-04   0.1141674635354119E+01   0.7702490403068549E+00
   0.1135306132914049E-04   0.4659228801459085E+01   0.2952841677264889E+00
   0.1131587409293219E-04   0.1411195721154059E+01   0.1569929700479009E+01
   0.1085425461534599E-04   0.2520701441306281E+01   0.8689828053339868E+00
  -0.1056787968358008E-04   0.5297259127728866E+00   0.2765802151711960E+00
   0.1037117124427068E-04   0.3287779524677212E+01   0.4740477452254596E+00
  -0.1027660284731680E-04   0.5018550226237658E+01   0.1589550780389208E+01
   0.1027273355964679E-04   0.4322279757599272E+00   0.1885741174540704E+00
   0.1006767559393374E-04   0.3899728247258444E+01   0.9677165703611184E+00
   0.9633989740567134E-05   0.3214872973695859E+01   0.1579740240434109E+01
   0.9178075378506732E-05   0.5278755053210607E+01   0.1066450335388250E+01
   0.9065206170156284E-05   0.2790222527106221E+01   0.1668663465506141E+01
   0.8851132878153258E-05   0.3614932034253890E+01   0.2971184224363018E+00
   0.8253549910000110E-05   0.3745965519831884E+00   0.1165184100415382E+01
  -0.8257707350863237E-05   0.1143917250102398E+00   0.1688284545416340E+01
   0.7905521775023910E-05   0.1811254781712090E+01   0.2873078824812022E+00
  -0.7853735166683912E-05   0.5083879248048722E+01   0.2063609426544568E+00
   0.7341396041786271E-05   0.1753623357935350E+01   0.1263917865442514E+01
   0.7228880718926971E-05   0.4169249333058383E+01   0.1767397230533273E+01
   0.6764635964795921E-05   0.4593899779648020E+01   0.1678474005461240E+01
  -0.6615254376434763E-05   0.1493418530962401E+01   0.1787018310443472E+01
   0.6543758079294575E-05   0.3452225144293904E+01   0.9082249651543854E+00
   0.6469301087553129E-05   0.3132650163887515E+01   0.1362651630469646E+01
   0.6431124552019571E-05   0.4831251950246065E+01   0.1006958730181517E+01
   0.6326716714869053E-05   0.2073198338341740E+01   0.8094912001272536E+00
  -0.6344479273710200E-05   0.2855551548917284E+01   0.2854736277713893E+00
   0.6126061421202252E-05   0.6210278756198226E+01   0.1105692495208649E+01
   0.5748353093941175E-05   0.5548276139010548E+01   0.1866130995560404E+01
   0.5708428891129938E-05   0.1306120254970812E+01   0.1204426260235781E+01
   0.5753474696726435E-05   0.3190281587664252E+01   0.3860416475083339E+00
   0.5648928770703093E-05   0.6941715323895785E+00   0.7107574351001218E+00
   0.5649105509135010E-05   0.4511676969839675E+01   0.1461385395496778E+01
   0.5432340482357107E-05   0.1908752718725049E+01   0.3753139801983278E+00
   0.5352373966360052E-05   0.4993958840206052E+01   0.3958521874634336E+00
   0.5250152718378343E-05   0.1134097106183830E+01   0.4927516977807525E+00
  -0.5276359293355092E-05   0.2872445336914567E+01   0.1885752075470604E+01
   0.5229887464078713E-05   0.2685147060922970E+01   0.1303160025262913E+01
   0.4890118052517932E-05   0.5890703775791840E+01   0.1560119160523909E+01
   0.4723632226316384E-05   0.4064173866875135E+01   0.1401893790290044E+01
   0.4693369092482988E-05   0.5972926585600182E+01   0.1777207770488372E+01
   0.4561946954009516E-05   0.6441176377831290E+00   0.1964864760587536E+01
  -0.4420710568728507E-05   0.5009233967410666E+01   0.2667696752160964E+00
   0.4337634584565960E-05   0.5598330033616995E+01   0.6120236700729901E+00
  -0.4380976601809811E-05   0.3630207161458504E+01   0.1680359101889646E+00
   0.4260384871171156E-05   0.9865452745644178E+00   0.1658852925551041E+01
   0.4289012976116846E-05   0.4569308393616414E+01   0.4847754125354657E+00
   0.4220548662286636E-05   0.5443200672827300E+01   0.1500627555317176E+01
  -0.4199363160735397E-05   0.4251472142866728E+01   0.1984485840497735E+01
   0.3732023312137390E-05   0.5390421715998777E+00   0.1599361320344308E+01
   0.3635875031439811E-05   0.2023144443735291E+01   0.2063598525614668E+01
   0.3406532781873487E-05   0.8980033897863482E-01   0.4945859524905654E+00
  -0.3500526370624341E-05   0.4234578354869447E+01   0.3842073927985210E+00
   0.3455891490801950E-05   0.5948335199568577E+01   0.5835091775625976E+00
  -0.2230818670346390E-03   0.5533048146779580E+01   0.5839811452565560E-03
   0.1753962398021800E-04   0.2721579555220420E+01   0.5839811452565560E-03
  -0.2328181620162680E-04   0.1648225206082800E+01   0.2952860072513110E-02
  -0.1600410709697660E-04   0.2171160129907190E+01   0.2035764949513110E-02
  -0.3450615143245680E-05   0.2694095053731580E+01   0.1118669826513110E-02
  -0.2988889508569460E-03   0.1971442394820420E+01   0.1167962290513110E-02
  -0.1367821711727360E-04   0.4782910986379580E+01   0.1167962290513110E-02
   0.1184653210332360E-04   0.1971481213000000E+01   0.1167962290513110E-02
   0.1288836483864210E-04   0.1337860308957420E+01   0.1281578356513110E-02
   0.3704937010630530E-05   0.5359801191509000E+01   0.1192598652513110E-02
  -0.4092616660610000E-04   0.1221305234420420E+01   0.1751943435769670E-02
   0.1339823501057820E-04   0.2148463129341690E+01   0.1095544904247980E+01
   0.7254032016403240E-05   0.4324969183604490E+01   0.2000408834733950E+01
   0.1460196299297440E-04   0.9654256497292940E+00   0.2962012605910000E+00
   0.3460035905216260E-05   0.1488360573553680E+01   0.2952841654680000E+00
  -0.1024878235180840E-04   0.2826260933757870E+00   0.5894496611094870E+00
